Sample	Gene	above20X
71201	SCRN2	93.99
71201	PITPNB	75.36
71201	ASPDH	99.17
71201	DPY19L2P1	66.54
71201	MS4A13	95.28
71201	FLRT2	100.00
71201	FLRT1	100.00
71201	MIR4705	100.00
71201	MIR3529	100.00
71201	MIR5689HG	0.00
71201	MIR4454	0.00
71201	LINC00680	24.70
71201	MIR4519	100.00
71201	MIR4646	100.00
71201	MIR4459	44.97
71201	MIR4528	53.00
71201	SLC30A3	94.19
71201	PRSS3P2	100.00
71201	WDR73	99.17
71201	HSH2D	92.28
71201	CORO6	96.37
71201	SERAC1	100.00
71201	LTV1	99.35
71201	ABHD13	100.00
71201	MAEL	100.00
71201	FOXD4L6	0.00
71201	LINC00628	0.00
71201	GOLT1A	99.33
71201	KCTD6	100.00
71201	C3orf67	99.72
71201	ERVMER34-1	100.00
71201	KRTAP13-4	100.00
71201	LINC01291	0.00
71201	LINC01432	0.00
71201	GIPC1	69.86
71201	SPECC1L-ADORA2A	85.84
71201	TMEM213	100.00
71201	ZP3	91.43
71201	IGIP	100.00
71201	PPM1M	82.49
71201	PTPN6	100.00
71201	PTPN3	99.89
71201	PTPN4	92.73
71201	PTPN1	100.00
71201	PTPN2	78.00
71201	PTPN7	99.94
71201	MAP3K12	98.54
71201	CENPBD1	100.00
71201	LRRC18	100.00
71201	CNPY1	100.00
71201	PRODH	88.98
71201	SERPING1	100.00
71201	ERC2-IT1	0.00
71201	C1QA	100.00
71201	C1QB	100.00
71201	C1R	100.00
71201	C1S	100.00
71201	C2	99.55
71201	C3	100.00
71201	C3AR1	100.00
71201	LINC01337	0.00
71201	DCAF4L2	100.00
71201	IL2	86.05
71201	IL2RA	100.00
71201	NRROS	100.00
71201	ZNF563	96.39
71201	IK	96.37
71201	IKBKB	96.79
71201	IL1A	98.51
71201	IL1B	100.00
71201	IL1R1	100.00
71201	IL1RAP	98.98
71201	IL1RN	100.00
71201	C14orf39	93.38
71201	ADAM20P1	41.16
71201	CCDC85C	74.46
71201	SETD9	100.00
71201	GTF2IRD2	33.54
71201	KIAA1109	99.36
71201	ASCC2	99.47
71201	C19orf44	100.00
71201	NLRC5	97.16
71201	ANTXR1	95.87
71201	FAM90A10P	0.00
71201	CCDC129	97.97
71201	TMPRSS7	100.00
71201	CD200R1L	97.83
71201	GOLIM4	99.28
71201	ZNF638	100.00
71201	RPS6KA6	92.27
71201	HTATSF1	91.68
71201	EIF3K	100.00
71201	P2RY10	92.71
71201	PRPF19	98.02
71201	UBE2S	60.22
71201	FBXO7	97.83
71201	KLHL30	87.16
71201	NGEF	93.51
71201	CFAP45	99.94
71201	QPCT	100.00
71201	PGLS	89.96
71201	FSCN2	99.25
71201	ZNF324	96.15
71201	BRI3	59.36
71201	JPH1	100.00
71201	UQCRQ	100.00
71201	MSRB1	100.00
71201	RAPGEF6	99.14
71201	UPB1	100.00
71201	GHRL	95.16
71201	FOXP1	99.85
71201	LINC00313	0.00
71201	LINC00618	100.00
71201	LINC00310	0.00
71201	ADAM21P1	95.92
71201	NPTXR	67.73
71201	MIS18A	96.67
71201	PGAP3	93.57
71201	ZNF876P	57.13
71201	CBX6	87.50
71201	DOCK9-AS2	0.00
71201	CYP3A7-CYP3A51P	100.00
71201	LINC00566	0.00
71201	LINC00564	0.00
71201	LINC00557	0.00
71201	LINC00562	0.00
71201	PINK1-AS	44.75
71201	CDC42P3	13.65
71201	CYB5A	100.00
71201	RGL1	99.77
71201	PASK	100.00
71201	LPIN1	100.00
71201	ZCCHC14	94.29
71201	CEP68	100.00
71201	SEPT8	97.52
71201	GPD1L	100.00
71201	TTLL12	90.36
71201	METAP1	100.00
71201	FAM175B	100.00
71201	HAPLN3	99.77
71201	AAGAB	100.00
71201	CYB5RL	88.69
71201	ICMT	75.91
71201	TMEM86A	100.00
71201	CCDC189	100.00
71201	CSTF3-AS1	0.00
71201	C4B_2	14.79
71201	TSGA13	100.00
71201	BRAF	96.85
71201	BRCA1	100.00
71201	BPI	96.22
71201	BPHL	96.64
71201	ZFP36L1	99.52
71201	BRDT	87.15
71201	BRCA2	100.00
71201	KCNIP1	100.00
71201	CXXC1	99.57
71201	CATSPERG	99.52
71201	ZP4	100.00
71201	HMHB1	100.00
71201	RAP2C	94.40
71201	C6orf47	99.77
71201	CCNB1IP1	97.91
71201	CCDC181	100.00
71201	GRHL3	100.00
71201	SLAMF7	97.22
71201	CLDN25	100.00
71201	OVAAL	0.00
71201	FLAD1	99.64
71201	FAM163A	100.00
71201	PLEKHO2	98.56
71201	EFHD1	76.65
71201	TRABD	98.24
71201	WDCP	100.00
71201	FER1L4	46.21
71201	MED28	98.61
71201	MPC1L	100.00
71201	INO80	95.63
71201	CCNJ	100.00
71201	MFSD3	98.83
71201	ARMC2-AS1	0.00
71201	LYSMD3	99.89
71201	LRRC58	89.10
71201	LINC01107	0.00
71201	ZMIZ1	94.81
71201	KIAA1191	93.11
71201	VARS2	96.17
71201	SLC6A10P	28.81
71201	CORO1B	87.96
71201	CAMK1G	100.00
71201	DOLPP1	100.00
71201	SNHG22	19.09
71201	NOMO3	10.78
71201	E2F1	80.41
71201	OR2AT4	96.71
71201	FMC1	100.00
71201	RPL23AP64	26.28
71201	CTAGE7P	87.98
71201	BASP1P1	16.26
71201	CLSPN	99.15
71201	PYDC2	100.00
71201	ARID5A	89.34
71201	SLC22A7	96.96
71201	IBA57-AS1	62.14
71201	MIR412	100.00
71201	MIR410	100.00
71201	MIR376B	100.00
71201	MIR485	100.00
71201	USP19	97.82
71201	USP20	95.56
71201	C9orf153	100.00
71201	SPATA31D3	22.29
71201	SPATA31D1	93.22
71201	SPATA31D4	20.40
71201	LY6G6F	100.00
71201	HSPA12A	88.80
71201	BEST1	98.20
71201	MIR548P	70.21
71201	VIPR1	90.42
71201	VIP	100.00
71201	VIM	100.00
71201	EZR	99.84
71201	VLDLR	100.00
71201	VIPR2	84.76
71201	POM121L4P	6.98
71201	TCERG1L	79.90
71201	USP30	99.76
71201	BDNF-AS	9.17
71201	SEMA3B-AS1	0.00
71201	SOST	100.00
71201	SLC22A9	100.00
71201	PDE5A	100.00
71201	DYNLL1	86.89
71201	LINC00639	5.23
71201	DDX3Y	98.36
71201	NUMB	99.46
71201	SOCS1	100.00
71201	TNKS	100.00
71201	ALDH4A1	99.29
71201	MIR4329	100.00
71201	WWP1	87.39
71201	ABHD2	97.00
71201	DDX52	96.97
71201	ZPBP	96.74
71201	OGFR	76.90
71201	CPSF6	97.69
71201	NUDT21	100.00
71201	LRRC75A	65.48
71201	GRAPL	12.59
71201	FAM98C	88.76
71201	PMCHL1	31.81
71201	PNOC	100.00
71201	PLXNB3	80.36
71201	PLXNB1	94.75
71201	PMCH	100.00
71201	PMAIP1	100.00
71201	PLXNA1	98.13
71201	PLTP	100.00
71201	PLXNA2	96.04
71201	POTEF	34.10
71201	USP17L26	0.00
71201	USP17L25	0.00
71201	ARHGEF34P	31.10
71201	PRAC1	95.36
71201	NIFK	77.62
71201	ARFGAP2	97.33
71201	XAGE1B	0.00
71201	ZNF847P	0.00
71201	C2orf81	99.79
71201	BOLA3	72.18
71201	C2orf78	96.03
71201	FUNDC2P2	44.66
71201	C2orf68	100.00
71201	LINC01018	0.00
71201	ABCC6P1	32.86
71201	TRIM43B	36.33
71201	FAM224A	0.00
71201	GOLGA2P3Y	0.00
71201	HDAC5	97.43
71201	PDCD6IP	97.69
71201	PDCD6	92.76
71201	BCL2L10	87.13
71201	TANK	94.35
71201	SRA1	100.00
71201	UGDH	99.05
71201	HDAC6	98.21
71201	SCGB1A1	100.00
71201	UGCG	100.00
71201	SLC35A2	76.54
71201	MIR6510	100.00
71201	SH2B3	83.97
71201	UCP1	100.00
71201	UCP2	100.00
71201	LINC01560	14.67
71201	CT83	100.00
71201	GAPVD1	99.18
71201	TNFSF11	100.00
71201	RNF6	100.00
71201	RNF5	95.78
71201	RNF2	97.38
71201	SNORA62	100.00
71201	RNF4	90.35
71201	BRD2	95.64
71201	RNASEL	100.00
71201	SNORA63	100.00
71201	ATF7IP2	100.00
71201	DCAF17	96.41
71201	AGT	100.00
71201	LINC00574	13.63
71201	TMSB15B	56.32
71201	JAG1	97.67
71201	TMEM219	100.00
71201	ZNF192P1	51.97
71201	ACTR3C	100.00
71201	GLIPR1L2	90.14
71201	ALDH5A1	88.10
71201	FOXD4L3	0.00
71201	PRRC2A	96.13
71201	BAG6	95.49
71201	DEK	89.90
71201	LINC00517	0.00
71201	INTS6L-AS1	0.00
71201	NANOS3	100.00
71201	PALM3	100.00
71201	MAPT	93.68
71201	MAP6	84.31
71201	MAP4	97.29
71201	MAP2	100.00
71201	MAP1B	98.22
71201	MAP1A	99.11
71201	MARK1	97.21
71201	ADORA2A-AS1	13.40
71201	LRRC15	100.00
71201	RAET1K	52.62
71201	WASH3P	0.00
71201	PRPF3	100.00
71201	PRPF4	98.67
71201	PI4KAP2	10.36
71201	REREP3	55.51
71201	P2RX6	85.82
71201	CNOT9	99.29
71201	PDLIM1	97.92
71201	C4orf3	100.00
71201	SLC16A5	100.00
71201	STOM	93.80
71201	NAV2-AS4	0.00
71201	LINC00987	3.44
71201	CASC8	0.00
71201	GOLGA6L10	0.00
71201	TAT	100.00
71201	TBX1	74.28
71201	TARS	98.62
71201	TARBP1	83.77
71201	TARBP2	99.83
71201	TAPBP	94.33
71201	TAP1	90.30
71201	TAP2	92.39
71201	RBM43	100.00
71201	NOTUM	78.95
71201	ACOD1	100.00
71201	LINC01616	0.00
71201	LINC00211	0.00
71201	LINC01395	0.00
71201	OTOP1	78.25
71201	KCNT2	98.97
71201	MIR4285	100.00
71201	AICDA	100.00
71201	LINC01333	0.00
71201	CASC6	0.00
71201	LINC01447	0.00
71201	MIR548V	100.00
71201	MIR4316	100.00
71201	MIR4259	100.00
71201	MIR3182	100.00
71201	MIR3187	100.00
71201	MIR4301	100.00
71201	MIR3123	100.00
71201	MIR4318	100.00
71201	GOLGA6L22	0.00
71201	SCUBE3	96.59
71201	LHFPL5	100.00
71201	HERC2P9	11.27
71201	HSD17B3	100.00
71201	HSD17B1	93.99
71201	HSD11B2	80.59
71201	HSD11B1	100.00
71201	HSF1	99.65
71201	HSD17B4	99.80
71201	HSD17B2	100.00
71201	HSF4	92.23
71201	HSF2	85.73
71201	ACTBL2	97.10
71201	F13A1	100.00
71201	LCA5	100.00
71201	ODF2	99.04
71201	F12	100.00
71201	FAAH	100.00
71201	FABP4	100.00
71201	ODC1	100.00
71201	OCRL	98.33
71201	FABP1	100.00
71201	FABP2	100.00
71201	OMD	100.00
71201	DENND1C	96.69
71201	CEP76	95.90
71201	NOL10	96.79
71201	PDZD7	96.45
71201	ERMP1	93.68
71201	PAQR6	96.39
71201	CYP4F62P	0.00
71201	U2AF1	73.97
71201	ZNF324B	93.27
71201	CLEC4E	100.00
71201	KCNG2	85.71
71201	NKX2-8	69.18
71201	CABYR	97.70
71201	PTTG3P	99.85
71201	OPTC	100.00
71201	FBXW8	89.66
71201	BLOC1S6	100.00
71201	TEX40	95.17
71201	PSMD5-AS1	9.11
71201	RBM24	100.00
71201	AP1S3	97.66
71201	FGFBP3	60.35
71201	FAM192A	92.72
71201	EPN3	96.48
71201	PLEKHB2	93.61
71201	VPS54	100.00
71201	ZNF581	100.00
71201	SIRT7	71.75
71201	VPS37C	91.51
71201	C19orf60	69.66
71201	KLHDC2	86.01
71201	CARHSP1	100.00
71201	NLRC3	96.76
71201	CDC42EP4	94.54
71201	CASP14	94.04
71201	CCNDBP1	92.20
71201	SMUG1	100.00
71201	VSIG2	96.40
71201	TMEM50A	100.00
71201	CASP16P	60.69
71201	ELP5	98.23
71201	GABPB2	91.44
71201	SMARCA5-AS1	25.10
71201	PLCE1-AS1	26.58
71201	CENPO	97.60
71201	C19orf57	78.59
71201	PRR15L	100.00
71201	ZDHHC15	100.00
71201	FBXL15	88.44
71201	ZNF576	92.68
71201	CRELD2	92.03
71201	ZNF343	93.46
71201	THTPA	100.00
71201	GSTT2	12.48
71201	GSTT1	98.76
71201	GSTP1	95.59
71201	GTF2A1	95.49
71201	MSH6	99.42
71201	GSTZ1	100.00
71201	GTF2B	100.00
71201	GTF2A2	90.27
71201	MIR5094	100.00
71201	MIR5681A	55.29
71201	MIR5194	100.00
71201	MIR5191	90.76
71201	MIR5702	100.00
71201	MIR664B	100.00
71201	MIR5697	100.00
71201	MIR5588	100.00
71201	MIR5189	98.38
71201	MIR5708	97.89
71201	ANKRD46	100.00
71201	AKAP14	100.00
71201	GPHB5	100.00
71201	MBTD1	99.60
71201	DCHS2	99.14
71201	KCTD9	65.42
71201	TET2	100.00
71201	MED18	100.00
71201	BNC2	100.00
71201	TRPM4	99.43
71201	CNKSR1	100.00
71201	STXBP6	100.00
71201	LINC00339	0.00
71201	MRPL22	97.68
71201	LGALSL	99.82
71201	ORMDL2	100.00
71201	SRRM1	95.16
71201	RANGRF	100.00
71201	COMMD9	95.07
71201	CCDC50	100.00
71201	PABPC5-AS1	0.00
71201	LINC01444	0.00
71201	ERCC6L	100.00
71201	NDE1	100.00
71201	SWT1	98.40
71201	TRPM7	100.00
71201	CDHR2	98.98
71201	NXPE4	99.40
71201	GIN1	97.13
71201	ASPN	100.00
71201	BCAS3	100.00
71201	IQGAP2	100.00
71201	WDR4	100.00
71201	SLC17A3	100.00
71201	NCKAP1	100.00
71201	ZNF234	100.00
71201	ZNF266	100.00
71201	ZNF274	99.21
71201	NEK6	98.46
71201	USP32P1	20.89
71201	FAM25G	0.00
71201	C10orf113	100.00
71201	FAM27C	0.00
71201	BMPR1B-AS1	0.00
71201	LINC00284	0.00
71201	TRIM41	94.32
71201	RAP1GAP	93.19
71201	RAP1B	87.15
71201	RANGAP1	100.00
71201	MIR7705	0.00
71201	RAP1A	98.86
71201	RAN	94.09
71201	RALGDS	97.07
71201	RANBP2	71.65
71201	RANBP1	80.04
71201	ADAMTS8	93.84
71201	MIR3687-2	100.00
71201	MIR3179-4	0.00
71201	OR8J3	100.00
71201	MIR3670-3	0.00
71201	CYP3A43	99.09
71201	ZC2HC1B	100.00
71201	LINC00032	0.00
71201	LINGO2	100.00
71201	SERINC5	94.77
71201	ZDHHC8P1	24.30
71201	C22orf15	100.00
71201	MIR6834	100.00
71201	MIR6833	100.00
71201	MIR6836	12.32
71201	MIR6835	0.00
71201	MIR6839	0.00
71201	MIR6838	100.00
71201	MIR6842	50.66
71201	MIR6841	100.00
71201	MIR6846	100.00
71201	MIR6843	86.95
71201	ZNF26	0.00
71201	ZNF24	100.00
71201	ZNF22	100.00
71201	ZNF23	100.00
71201	CXorf40B	100.00
71201	F8A1	0.00
71201	NAA10	100.00
71201	UBL4A	88.71
71201	TMEM187	100.00
71201	LINC00301	0.00
71201	GIMAP1-GIMAP5	100.00
71201	ZNF878	100.00
71201	TGIF2-C20orf24	93.44
71201	NENF	66.54
71201	RPA4	100.00
71201	SNX12	95.08
71201	GPR132	100.00
71201	LINC00312	0.00
71201	PCDHB1	100.00
71201	GPAT4	100.00
71201	LINC01626	0.00
71201	KRTAP9-7	67.11
71201	TSPAN10	85.27
71201	MIXL1	79.81
71201	TTLL2	100.00
71201	PRSS27	84.35
71201	SLC25A2	100.00
71201	WDR87	100.00
71201	FGFBP2	100.00
71201	C16orf89	74.82
71201	PPIC	99.56
71201	PPID	90.35
71201	ZNF704	99.84
71201	TMEM265	0.00
71201	NAALADL2-AS3	0.00
71201	NTPCR	71.35
71201	EIF1AD	100.00
71201	TMEM175	97.52
71201	ZDHHC16	96.13
71201	BTBD10	84.90
71201	C2orf88	100.00
71201	RNF135	91.57
71201	TMEM79	100.00
71201	EFCAB2	94.11
71201	ING5	92.01
71201	SPINT4	100.00
71201	SUMO1P1	0.00
71201	ZBTB22	98.95
71201	OR6N1	100.00
71201	RTCA-AS1	0.00
71201	OR6K6	100.00
71201	LINC01436	0.00
71201	UBE2E4P	35.67
71201	GTSF1	100.00
71201	PCCA	99.42
71201	PCBP2	92.34
71201	ZNF431	98.23
71201	ZNF525	67.54
71201	SDHAF4	97.47
71201	C4orf47	100.00
71201	B3GAT2	100.00
71201	TMCC1	100.00
71201	PALLD	88.23
71201	SARNP	100.00
71201	GDF6	100.00
71201	LDLRAD4-AS1	0.00
71201	SMG1P1	0.92
71201	GAB4	94.08
71201	THOC3	69.35
71201	ACBD6	100.00
71201	TBC1D3I	0.00
71201	LINC00452	100.00
71201	CST5	94.33
71201	FRG2B	46.86
71201	DOCK9	97.91
71201	PHF24	97.64
71201	DNAJC16	100.00
71201	SMCHD1	100.00
71201	ESYT1	99.37
71201	SYNE1	100.00
71201	DLGAP1-AS2	37.67
71201	FAM21EP	0.00
71201	NKILA	10.00
71201	STAG3L2	6.46
71201	BCL2L14	100.00
71201	UQCC3	92.05
71201	ESRG	0.00
71201	MOG	100.00
71201	MOS	98.09
71201	MOV10	96.82
71201	LRP4-AS1	49.74
71201	CD200	100.00
71201	PLCD4	100.00
71201	LINC00974	0.00
71201	PSAPL1	99.74
71201	PRORSD1P	0.00
71201	PKIA-AS1	0.00
71201	LINC01365	0.00
71201	MPZL1	100.00
71201	TAF1C	100.00
71201	SLC25A14	80.44
71201	TAF1A	100.00
71201	TAF1B	99.37
71201	GUSBP2	36.74
71201	ZKSCAN4	100.00
71201	THSD7A	100.00
71201	UBE3B	100.00
71201	LINC00265	0.00
71201	HIST2H2BC	40.87
71201	ZSCAN29	96.93
71201	TTBK2	100.00
71201	CHSY3	97.83
71201	HIST2H2BA	74.01
71201	CDAN1	100.00
71201	KRTAP7-1	100.00
71201	ERP27	100.00
71201	SRRM3	43.19
71201	SNORA59B	84.56
71201	SNORA59A	84.56
71201	ERV3-1	99.23
71201	ERN1	96.54
71201	USP1	100.00
71201	C22orf34	83.00
71201	USH2A	100.00
71201	COL5A3	89.01
71201	TPT1	100.00
71201	FBXW2	99.08
71201	PTPN22	100.00
71201	PEX11G	94.20
71201	TPMT	100.00
71201	TPO	97.70
71201	ABCC13	35.13
71201	TPM3	100.00
71201	TPM4	83.16
71201	TPP2	96.82
71201	TPR	99.52
71201	C11orf49	92.98
71201	SYCP3	100.00
71201	PODXL2	91.57
71201	CHST11	100.00
71201	DEC1	99.20
71201	TPST2	100.00
71201	TREML5P	100.00
71201	C1orf105	100.00
71201	GORAB	100.00
71201	NAF1	87.26
71201	METTL18	96.36
71201	PRR29	79.62
71201	FKBP6	88.26
71201	SUPT3H	99.66
71201	SMARCA5	98.49
71201	TPST1	100.00
71201	TEAD2	97.84
71201	HERC2P3	18.33
71201	CUL3	100.00
71201	FAM98B	72.21
71201	TMEM81	100.00
71201	CUL1	96.69
71201	ATRN	96.60
71201	CRTC2	88.20
71201	FOXN1	100.00
71201	ACTN1-AS1	0.00
71201	KRTCAP2	95.91
71201	KCNK17	97.30
71201	ACKR2	98.79
71201	ZNF573	92.85
71201	WDR97	93.34
71201	CCR3	100.00
71201	TMEM249	84.48
71201	CCR8	100.00
71201	CCR7	100.00
71201	CCR6	99.38
71201	CCR5	100.00
71201	NUTM1	96.85
71201	RSPH10B	39.51
71201	CXorf23	97.40
71201	SLC29A4	40.99
71201	LMO7DN-IT1	0.00
71201	LINC01202	0.00
71201	STK32C	79.03
71201	ZNF396	100.00
71201	JAKMIP3	89.73
71201	PVRIG	64.88
71201	KXD1	100.00
71201	NABP2	71.55
71201	C7orf26	80.49
71201	SERPINA11	96.86
71201	PDCL3	90.51
71201	LINC01419	0.00
71201	DDX54	100.00
71201	ZFYVE21	82.35
71201	CTNNB1	100.00
71201	CTNS	100.00
71201	CTNNA2	99.66
71201	TP53RK	100.00
71201	CTLA4	100.00
71201	GPR173	98.67
71201	CTGF	85.81
71201	GPR33	100.00
71201	GPR34	100.00
71201	GPR32	100.00
71201	GPER1	100.00
71201	GPR31	97.83
71201	GPR27	96.57
71201	GPR35	100.00
71201	FAM181A	100.00
71201	LINC00677	100.00
71201	EFNA4	100.00
71201	EFNA3	99.21
71201	EFNB1	100.00
71201	EFNA5	100.00
71201	EFNA2	76.68
71201	EFNA1	100.00
71201	ZNF883	99.47
71201	EFNB3	79.12
71201	EFNB2	100.00
71201	PQLC2L	100.00
71201	USP3-AS1	34.41
71201	LINC00917	13.80
71201	LIMD1	98.01
71201	KALRN	100.00
71201	NOL3	100.00
